|Ezili  |Ninja  |Alch   |Engi   |
|Church |Heli   |Alch   |Druid  |
|Church |Heli   |Ninja  |Alch   |
|Church |Heli   |Super  |Alch   |
|Church |Heli   |Wizard |Engi   |
|Church |Heli   |Wizard |Village|
|Church |Heli   |Wizard |Spac   |
|Church |Heli   |Wizard |Druid  |
|Church |Heli   |Wizard |Alch   |
|Church |Heli   |Wizard |Ninja  |
|Church |Heli   |Wizard |Super  |
|Church |Heli   |Mortar |Alch   |
|Church |Heli   |Mortar |Wizard |
|Church |Ace    |Ninja  |Alch   |
|Church |Ace    |Wizard |Engi   |
|Church |Ace    |Wizard |Village|
|Church |Ace    |Wizard |Spac   |
|Church |Ace    |Wizard |Druid  |
|Church |Ace    |Wizard |Alch   |
|Church |Ace    |Wizard |Ninja  |
|Church |Ace    |Wizard |Super  |
|Church |Ace    |Mortar |Wizard |
|Church |Ace    |Heli   |Alch   |
|Church |Ace    |Heli   |Wizard |
|Church |Bucc   |Ninja  |Alch   |
|Church |Bucc   |Wizard |Engi   |
|Church |Bucc   |Wizard |Village|
|Church |Bucc   |Wizard |Spac   |
|Church |Bucc   |Wizard |Druid  |
|Church |Bucc   |Wizard |Alch   |
|Church |Bucc   |Wizard |Ninja  |
|Church |Bucc   |Wizard |Super  |
|Church |Bucc   |Mortar |Wizard |
|Church |Bucc   |Heli   |Village|
|Church |Bucc   |Heli   |Alch   |
|Church |Bucc   |Heli   |Wizard |
|Church |Bucc   |Ace    |Wizard |
|Church |Sub    |Ninja  |Alch   |
|Church |Sub    |Super  |Engi   |
|Church |Sub    |Super  |Village|
|Church |Sub    |Super  |Spac   |
|Church |Sub    |Super  |Druid  |
|Church |Sub    |Super  |Alch   |
|Church |Sub    |Super  |Ninja  |
|Church |Sub    |Wizard |Engi   |
|Church |Sub    |Wizard |Village|
|Church |Sub    |Wizard |Spac   |
|Church |Sub    |Wizard |Druid  |
|Church |Sub    |Wizard |Alch   |
|Church |Sub    |Wizard |Ninja  |
|Church |Sub    |Wizard |Super  |
|Church |Sub    |Mortar |Super  |
|Church |Sub    |Mortar |Wizard |
|Church |Sub    |Heli   |Engi   |
|Church |Sub    |Heli   |Village|
|Church |Sub    |Heli   |Spac   |
|Church |Sub    |Heli   |Druid  |
|Church |Sub    |Heli   |Alch   |
|Church |Sub    |Heli   |Ninja  |
|Church |Sub    |Heli   |Super  |
|Church |Sub    |Heli   |Wizard |
|Church |Sub    |Heli   |Mortar |
|Church |Sub    |Ace    |Super  |
|Church |Sub    |Ace    |Wizard |
|Church |Sub    |Ace    |Heli   |
|Church |Sub    |Bucc   |Super  |
|Church |Sub    |Bucc   |Wizard |
|Church |Sub    |Bucc   |Heli   |
|Church |Sniper |Ninja  |Alch   |
|Church |Sniper |Wizard |Engi   |
|Church |Sniper |Wizard |Village|
|Church |Sniper |Wizard |Spac   |
|Church |Sniper |Wizard |Druid  |
|Church |Sniper |Wizard |Alch   |
|Church |Sniper |Wizard |Ninja  |
|Church |Sniper |Wizard |Super  |
|Church |Sniper |Mortar |Wizard |
|Church |Sniper |Heli   |Alch   |
|Church |Sniper |Heli   |Wizard |
|Church |Sniper |Ace    |Wizard |
|Church |Sniper |Bucc   |Wizard |
|Church |Sniper |Sub    |Super  |
|Church |Sniper |Sub    |Wizard |
|Church |Sniper |Sub    |Heli   |
|Church |Glue   |Ninja  |Alch   |
|Church |Glue   |Wizard |Engi   |
|Church |Glue   |Wizard |Village|
|Church |Glue   |Wizard |Spac   |
|Church |Glue   |Wizard |Druid  |
|Church |Glue   |Wizard |Alch   |
|Church |Glue   |Wizard |Ninja  |
|Church |Glue   |Wizard |Super  |
|Church |Glue   |Mortar |Wizard |
|Church |Glue   |Heli   |Alch   |
|Church |Glue   |Heli   |Wizard |
|Church |Glue   |Ace    |Wizard |
|Church |Glue   |Bucc   |Wizard |
|Church |Glue   |Sub    |Super  |
|Church |Glue   |Sub    |Wizard |
|Church |Glue   |Sub    |Heli   |
|Church |Glue   |Sniper |Wizard |
|Church |Ice    |Ninja  |Alch   |
|Church |Ice    |Wizard |Engi   |
|Church |Ice    |Wizard |Village|
|Church |Ice    |Wizard |Spac   |
|Church |Ice    |Wizard |Druid  |
|Church |Ice    |Wizard |Alch   |
|Church |Ice    |Wizard |Ninja  |
|Church |Ice    |Wizard |Super  |
|Church |Ice    |Mortar |Wizard |
|Church |Ice    |Heli   |Alch   |
|Church |Ice    |Heli   |Wizard |
|Church |Ice    |Ace    |Wizard |
|Church |Ice    |Bucc   |Wizard |
|Church |Ice    |Sub    |Super  |
|Church |Ice    |Sub    |Wizard |
|Church |Ice    |Sub    |Heli   |
|Church |Ice    |Sniper |Wizard |
|Church |Ice    |Glue   |Wizard |
|Church |Tack   |Ninja  |Alch   |
|Church |Tack   |Wizard |Engi   |
|Church |Tack   |Wizard |Village|
|Church |Tack   |Wizard |Spac   |
|Church |Tack   |Wizard |Druid  |
|Church |Tack   |Wizard |Alch   |
|Church |Tack   |Wizard |Ninja  |
|Church |Tack   |Wizard |Super  |
|Church |Tack   |Mortar |Wizard |
|Church |Tack   |Heli   |Alch   |
|Church |Tack   |Heli   |Wizard |
|Church |Tack   |Ace    |Wizard |
|Church |Tack   |Bucc   |Wizard |
|Church |Tack   |Sub    |Super  |
|Church |Tack   |Sub    |Wizard |
|Church |Tack   |Sub    |Heli   |
|Church |Tack   |Sniper |Wizard |
|Church |Tack   |Glue   |Wizard |
|Church |Tack   |Ice    |Wizard |
|Church |Bomb   |Ninja  |Alch   |
|Church |Bomb   |Wizard |Engi   |
|Church |Bomb   |Wizard |Village|
|Church |Bomb   |Wizard |Spac   |
|Church |Bomb   |Wizard |Druid  |
|Church |Bomb   |Wizard |Alch   |
|Church |Bomb   |Wizard |Ninja  |
|Church |Bomb   |Wizard |Super  |
|Church |Bomb   |Mortar |Wizard |
|Church |Bomb   |Heli   |Alch   |
|Church |Bomb   |Heli   |Wizard |
|Church |Bomb   |Ace    |Wizard |
|Church |Bomb   |Bucc   |Wizard |
|Church |Bomb   |Sub    |Super  |
|Church |Bomb   |Sub    |Wizard |
|Church |Bomb   |Sub    |Heli   |
|Church |Bomb   |Sniper |Wizard |
|Church |Bomb   |Glue   |Wizard |
|Church |Bomb   |Ice    |Wizard |
|Church |Bomb   |Tack   |Wizard |
|Church |Boomer |Ninja  |Alch   |
|Church |Boomer |Wizard |Engi   |
|Church |Boomer |Wizard |Village|
|Church |Boomer |Wizard |Spac   |
|Church |Boomer |Wizard |Druid  |
|Church |Boomer |Wizard |Alch   |
|Church |Boomer |Wizard |Ninja  |
|Church |Boomer |Wizard |Super  |
|Church |Boomer |Mortar |Wizard |
|Church |Boomer |Heli   |Alch   |
|Church |Boomer |Heli   |Wizard |
|Church |Boomer |Ace    |Wizard |
|Church |Boomer |Bucc   |Wizard |
|Church |Boomer |Sub    |Super  |
|Church |Boomer |Sub    |Wizard |
|Church |Boomer |Sub    |Heli   |
|Church |Boomer |Sniper |Wizard |
|Church |Boomer |Glue   |Wizard |
|Church |Boomer |Ice    |Wizard |
|Church |Boomer |Tack   |Wizard |
|Church |Boomer |Bomb   |Wizard |
|Church |Dart   |Ninja  |Alch   |
|Church |Dart   |Wizard |Engi   |
|Church |Dart   |Wizard |Village|
|Church |Dart   |Wizard |Spac   |
|Church |Dart   |Wizard |Druid  |
|Church |Dart   |Wizard |Alch   |
|Church |Dart   |Wizard |Ninja  |
|Church |Dart   |Wizard |Super  |
|Church |Dart   |Mortar |Wizard |
|Church |Dart   |Heli   |Alch   |
|Church |Dart   |Heli   |Wizard |
|Church |Dart   |Ace    |Wizard |
|Church |Dart   |Bucc   |Wizard |
|Church |Dart   |Sub    |Super  |
|Church |Dart   |Sub    |Wizard |
|Church |Dart   |Sub    |Heli   |
|Church |Dart   |Sniper |Wizard |
|Church |Dart   |Glue   |Wizard |
|Church |Dart   |Ice    |Wizard |
|Church |Dart   |Tack   |Wizard |
|Church |Dart   |Bomb   |Wizard |
|Church |Dart   |Boomer |Wizard |
|Pat    |Ninja  |Alch   |Engi   |
|Pat    |Ninja  |Alch   |Village|
|Pat    |Ninja  |Alch   |Spac   |
|Pat    |Ninja  |Alch   |Druid  |
|Pat    |Super  |Ninja  |Village|
|Pat    |Super  |Ninja  |Alch   |
|Pat    |Wizard |Spac   |Engi   |
|Pat    |Wizard |Spac   |Village|
|Pat    |Wizard |Druid  |Spac   |
|Pat    |Wizard |Alch   |Spac   |
|Pat    |Wizard |Ninja  |Engi   |
|Pat    |Wizard |Ninja  |Village|
|Pat    |Wizard |Ninja  |Spac   |
|Pat    |Wizard |Ninja  |Druid  |
|Pat    |Wizard |Ninja  |Alch   |
|Pat    |Wizard |Super  |Spac   |
|Pat    |Wizard |Super  |Ninja  |
|Pat    |Mortar |Ninja  |Alch   |
|Pat    |Mortar |Wizard |Engi   |
|Pat    |Mortar |Wizard |Village|
|Pat    |Mortar |Wizard |Spac   |
|Pat    |Mortar |Wizard |Druid  |
|Pat    |Mortar |Wizard |Alch   |
|Pat    |Mortar |Wizard |Ninja  |
|Pat    |Mortar |Wizard |Super  |
|Pat    |Heli   |Alch   |Engi   |
|Pat    |Heli   |Alch   |Village|
|Pat    |Heli   |Alch   |Spac   |
|Pat    |Heli   |Alch   |Druid  |
|Pat    |Heli   |Ninja  |Alch   |
|Pat    |Heli   |Super  |Alch   |
|Pat    |Heli   |Wizard |Engi   |
|Pat    |Heli   |Wizard |Village|
|Pat    |Heli   |Wizard |Spac   |
|Pat    |Heli   |Wizard |Druid  |
|Pat    |Heli   |Wizard |Alch   |
|Pat    |Heli   |Wizard |Ninja  |
|Pat    |Heli   |Wizard |Super  |
|Pat    |Heli   |Mortar |Alch   |
|Pat    |Heli   |Mortar |Wizard |
|Pat    |Ace    |Ninja  |Alch   |
|Pat    |Ace    |Wizard |Engi   |
|Pat    |Ace    |Wizard |Village|
|Pat    |Ace    |Wizard |Spac   |
|Pat    |Ace    |Wizard |Druid  |
|Pat    |Ace    |Wizard |Alch   |
|Pat    |Ace    |Wizard |Ninja  |
|Pat    |Ace    |Wizard |Super  |
|Pat    |Ace    |Mortar |Wizard |
|Pat    |Ace    |Heli   |Alch   |
|Pat    |Ace    |Heli   |Wizard |
|Pat    |Bucc   |Ninja  |Alch   |
|Pat    |Bucc   |Wizard |Engi   |
|Pat    |Bucc   |Wizard |Village|
|Pat    |Bucc   |Wizard |Spac   |
|Pat    |Bucc   |Wizard |Druid  |
|Pat    |Bucc   |Wizard |Alch   |
|Pat    |Bucc   |Wizard |Ninja  |
|Pat    |Bucc   |Wizard |Super  |
|Pat    |Bucc   |Mortar |Wizard |
|Pat    |Bucc   |Heli   |Village|
|Pat    |Bucc   |Heli   |Alch   |
|Pat    |Bucc   |Heli   |Wizard |
